rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
,,,,,,,,,,,100,147297.832864,,,Mackworth_Calibration,120,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,100,147298.4424208,,,Mackworth_Calibration,121,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,101,147299.0547365,,,Mackworth_Calibration,122,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,101,147299.6687602,,,Mackworth_Calibration,123,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,102,147300.3016983,,,Mackworth_Calibration,124,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,103,147300.9261204,,,Mackworth_Calibration,125,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,103,147301.5295938,,,Mackworth_Calibration,126,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,104,147302.1371126,,,Mackworth_Calibration,127,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,104,147302.746421,,,Mackworth_Calibration,128,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,105,147303.3786266,,,Mackworth_Calibration,129,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,106,147304.0219081,,,Mackworth_Calibration,130,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,106,147304.6371494,,,Mackworth_Calibration,131,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,107,147305.2472738,,,Mackworth_Calibration,132,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,108,147305.8481067,,,Mackworth_Calibration,133,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,108,147306.4663766,,,Mackworth_Calibration,134,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,109,147307.0992961,,,Mackworth_Calibration,135,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,109,147307.7132757,,,Mackworth_Calibration,136,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,110,147308.3442552,,,Mackworth_Calibration,137,0.6001624999999999,1,1,0.4887159999925643,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,111,147308.9768741,,,Mackworth_Calibration,138,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,111,147309.5862801,,,Mackworth_Calibration,139,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,112,147310.2021733,,,Mackworth_Calibration,140,0.6001624999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,113,147310.7835359,,,Mackworth_Calibration,141,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,113,147311.4175953,,,Mackworth_Calibration,142,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,114,147312.0008324,,,Mackworth_Calibration,143,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,114,147312.5856135,,,Mackworth_Calibration,144,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,115,147313.1876545,,,Mackworth_Calibration,145,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,116,147313.7701052,,,Mackworth_Calibration,146,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,116,147314.3700208,,,Mackworth_Calibration,147,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
